L1,L1 Slug,L2 #,L2,L2 Slug,L3 #,L3,L3 Slug,L4 #,L4 Group,L4 Type,L4 Slug
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,1,Yoga Studios,yoga-studios,1,Gyms & Studios,Full-Service Gym,gyms-studios-full-service-gym
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,1,Yoga Studios,yoga-studios,2,Gyms & Studios,CrossFit Box,gyms-studios-crossfit-box
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,1,Yoga Studios,yoga-studios,3,Gyms & Studios,Yoga Studio,gyms-studios-yoga-studio
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,1,Yoga Studios,yoga-studios,4,Gyms & Studios,Pilates Studio,gyms-studios-pilates-studio
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,1,Yoga Studios,yoga-studios,5,Gyms & Studios,Spin Class,gyms-studios-spin-class
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,1,Yoga Studios,yoga-studios,6,Gyms & Studios,Boxing Gym,gyms-studios-boxing-gym
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,1,Yoga Studios,yoga-studios,7,Gyms & Studios,Martial Arts Studio,gyms-studios-martial-arts-studio
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,1,Yoga Studios,yoga-studios,8,Gyms & Studios,Swimming Pool,gyms-studios-swimming-pool
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,1,Yoga Studios,yoga-studios,9,Gyms & Studios,Rock Climbing Gym,gyms-studios-rock-climbing-gym
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,1,Yoga Studios,yoga-studios,10,Gyms & Studios,Barre Studio,gyms-studios-barre-studio
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,1,Yoga Studios,yoga-studios,11,Personal Services,Personal Trainer,personal-services-personal-trainer
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,1,Yoga Studios,yoga-studios,12,Personal Services,Group Fitness,personal-services-group-fitness
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,1,Yoga Studios,yoga-studios,13,Personal Services,Outdoor Fitness,personal-services-outdoor-fitness
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,1,Yoga Studios,yoga-studios,14,Personal Services,Virtual Fitness,personal-services-virtual-fitness
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,1,Yoga Studios,yoga-studios,15,Personal Services,Senior Fitness,personal-services-senior-fitness
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,1,Yoga Studios,yoga-studios,16,Personal Services,Pre/Post-Natal Fitness,personal-services-pre-post-natal-fitness
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,1,Yoga Studios,yoga-studios,17,Personal Services,Weight Loss Program,personal-services-weight-loss-program
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,1,Yoga Studios,yoga-studios,18,Personal Services,Athletic Training,personal-services-athletic-training
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,1,Yoga Studios,yoga-studios,19,Personal Services,Boot Camp,personal-services-boot-camp
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,1,Yoga Studios,yoga-studios,20,Personal Services,Functional Training,personal-services-functional-training
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,2,Hot Yoga Studios,hot-yoga-studios,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,3,Aerial Yoga Studios,aerial-yoga-studios,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,4,Pilates Studios,pilates-studios,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,5,Reformer Pilates Studios,reformer-pilates-studios,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,6,Barre Studios,barre-studios,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,7,Spin Studios,spin-studios,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,8,Indoor Cycling Studios,indoor-cycling-studios,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,9,Rowing Studios,rowing-studios,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,10,Boxing Gyms,boxing-gyms,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,11,Kickboxing Gyms,kickboxing-gyms,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,12,MMA Gyms,mma-gyms,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,13,Brazilian Jiu-Jitsu Schools,brazilian-jiu-jitsu-schools,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,14,Krav Maga Schools,krav-maga-schools,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,15,Karate Dojos,karate-dojos,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,16,Taekwondo Schools,taekwondo-schools,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,17,Kung Fu Schools,kung-fu-schools,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,18,Aikido Dojos,aikido-dojos,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,19,Judo Schools,judo-schools,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,20,Capoeira Studios,capoeira-studios,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,21,Fencing Clubs,fencing-clubs,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,22,Archery Ranges,archery-ranges,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,23,Indoor Archery Ranges,indoor-archery-ranges,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,24,Shooting Ranges,shooting-ranges,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,25,Gun Ranges,gun-ranges,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,26,Axe Throwing Venues,axe-throwing-venues,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,27,Knife Throwing Venues,knife-throwing-venues,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,28,Bowling Alleys,bowling-alleys,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,29,Duckpin Bowling Alleys,duckpin-bowling-alleys,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,30,Cosmic Bowling Alleys,cosmic-bowling-alleys,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,31,Mini Golf Courses,mini-golf-courses,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,32,Putt Putt Courses,putt-putt-courses,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,33,Indoor Mini Golf,indoor-mini-golf,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,34,Glow-in-the-Dark Mini Golf,glow-in-the-dark-mini-golf,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,35,Driving Ranges,driving-ranges,1,Driving Schools,Defensive Driving,driving-schools-defensive-driving
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,36,Disc Golf Courses,disc-golf-courses,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,37,Top Golf Locations,top-golf-locations,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,38,Public Golf Courses,public-golf-courses,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,39,Private Golf Clubs,private-golf-clubs,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,40,Tennis Courts,tennis-courts,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,41,Pickleball Courts,pickleball-courts,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,42,Padel Courts,padel-courts,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,43,Squash Courts,squash-courts,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,44,Racquetball Courts,racquetball-courts,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,45,Badminton Clubs,badminton-clubs,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,46,Table Tennis Clubs,table-tennis-clubs,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,47,Indoor Soccer Fields,indoor-soccer-fields,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,48,Outdoor Soccer Fields,outdoor-soccer-fields,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,49,Futsal Courts,futsal-courts,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,50,Indoor Basketball Courts,indoor-basketball-courts,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,51,Outdoor Basketball Courts,outdoor-basketball-courts,,,,
Local Businesses,local-business,1,Active Life & Recreation,active-life-recreation,52,Volleyball Courts,volleyball-courts,,,,
