L1,L1 Slug,L2 #,L2,L2 Slug,L3 #,L3,L3 Slug,L4 #,L4 Group,L4 Type,L4 Slug
Professional Services,professional-services,1,Lawyers & Law Firms by Specialty,lawyers-law-firms-by-specialty,1,Personal Injury Lawyers,personal-injury-lawyers,1,Personal Injury,Car Accident,personal-injury-car-accident
Professional Services,professional-services,1,Lawyers & Law Firms by Specialty,lawyers-law-firms-by-specialty,1,Personal Injury Lawyers,personal-injury-lawyers,2,Personal Injury,Truck Accident,personal-injury-truck-accident
Professional Services,professional-services,1,Lawyers & Law Firms by Specialty,lawyers-law-firms-by-specialty,1,Personal Injury Lawyers,personal-injury-lawyers,3,Personal Injury,Motorcycle Accident,personal-injury-motorcycle-accident
Professional Services,professional-services,1,Lawyers & Law Firms by Specialty,lawyers-law-firms-by-specialty,1,Personal Injury Lawyers,personal-injury-lawyers,4,Personal Injury,Slip & Fall,personal-injury-slip-fall
Professional Services,professional-services,1,Lawyers & Law Firms by Specialty,lawyers-law-firms-by-specialty,1,Personal Injury Lawyers,personal-injury-lawyers,5,Personal Injury,Medical Malpractice,personal-injury-medical-malpractice
Professional Services,professional-services,1,Lawyers & Law Firms by Specialty,lawyers-law-firms-by-specialty,1,Personal Injury Lawyers,personal-injury-lawyers,6,Personal Injury,Product Liability,personal-injury-product-liability
Professional Services,professional-services,1,Lawyers & Law Firms by Specialty,lawyers-law-firms-by-specialty,1,Personal Injury Lawyers,personal-injury-lawyers,7,Personal Injury,Wrongful Death,personal-injury-wrongful-death
Professional Services,professional-services,1,Lawyers & Law Firms by Specialty,lawyers-law-firms-by-specialty,1,Personal Injury Lawyers,personal-injury-lawyers,8,Personal Injury,Workers Comp Claims,personal-injury-workers-comp-claims
Professional Services,professional-services,1,Lawyers & Law Firms by Specialty,lawyers-law-firms-by-specialty,1,Personal Injury Lawyers,personal-injury-lawyers,9,Personal Injury,Dog Bite,personal-injury-dog-bite
Professional Services,professional-services,1,Lawyers & Law Firms by Specialty,lawyers-law-firms-by-specialty,2,Auto Accident Lawyers,auto-accident-lawyers,,,,
Professional Services,professional-services,1,Lawyers & Law Firms by Specialty,lawyers-law-firms-by-specialty,3,Truck Accident Lawyers,truck-accident-lawyers,,,,
Professional Services,professional-services,1,Lawyers & Law Firms by Specialty,lawyers-law-firms-by-specialty,4,Motorcycle Accident Lawyers,motorcycle-accident-lawyers,,,,
Professional Services,professional-services,1,Lawyers & Law Firms by Specialty,lawyers-law-firms-by-specialty,5,Pedestrian Accident Lawyers,pedestrian-accident-lawyers,,,,
Professional Services,professional-services,1,Lawyers & Law Firms by Specialty,lawyers-law-firms-by-specialty,6,Bicycle Accident Lawyers,bicycle-accident-lawyers,,,,
Professional Services,professional-services,1,Lawyers & Law Firms by Specialty,lawyers-law-firms-by-specialty,7,Slip and Fall Lawyers,slip-and-fall-lawyers,,,,
Professional Services,professional-services,1,Lawyers & Law Firms by Specialty,lawyers-law-firms-by-specialty,8,Premises Liability Lawyers,premises-liability-lawyers,,,,
Professional Services,professional-services,1,Lawyers & Law Firms by Specialty,lawyers-law-firms-by-specialty,9,Dog Bite Lawyers,dog-bite-lawyers,,,,
Professional Services,professional-services,1,Lawyers & Law Firms by Specialty,lawyers-law-firms-by-specialty,10,Wrongful Death Lawyers,wrongful-death-lawyers,,,,
Professional Services,professional-services,1,Lawyers & Law Firms by Specialty,lawyers-law-firms-by-specialty,11,Brain Injury Lawyers,brain-injury-lawyers,,,,
Professional Services,professional-services,1,Lawyers & Law Firms by Specialty,lawyers-law-firms-by-specialty,12,Spinal Cord Injury Lawyers,spinal-cord-injury-lawyers,,,,
Professional Services,professional-services,1,Lawyers & Law Firms by Specialty,lawyers-law-firms-by-specialty,13,Burn Injury Lawyers,burn-injury-lawyers,,,,
Professional Services,professional-services,1,Lawyers & Law Firms by Specialty,lawyers-law-firms-by-specialty,14,Catastrophic Injury Lawyers,catastrophic-injury-lawyers,,,,
Professional Services,professional-services,1,Lawyers & Law Firms by Specialty,lawyers-law-firms-by-specialty,15,Birth Injury Lawyers,birth-injury-lawyers,,,,
Professional Services,professional-services,1,Lawyers & Law Firms by Specialty,lawyers-law-firms-by-specialty,16,Medical Malpractice Lawyers,medical-malpractice-lawyers,,,,
