L1,L1 Slug,L2 #,L2,L2 Slug,L3 #,L3,L3 Slug,L4 #,L4 Group,L4 Type,L4 Slug
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,1,Neobank Startups,neobank-startups,,,,
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,2,Digital Banking Startups,digital-banking-startups,1,Banking & Payments,Neobanks,banking-payments-neobanks
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,2,Digital Banking Startups,digital-banking-startups,2,Banking & Payments,Digital Wallets,banking-payments-digital-wallets
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,2,Digital Banking Startups,digital-banking-startups,3,Banking & Payments,Payment Processing,banking-payments-payment-processing
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,2,Digital Banking Startups,digital-banking-startups,4,Banking & Payments,Payment Infrastructure,banking-payments-payment-infrastructure
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,2,Digital Banking Startups,digital-banking-startups,5,Banking & Payments,Cryptocurrency Exchanges,banking-payments-cryptocurrency-exchanges
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,3,Challenger Bank Startups,challenger-bank-startups,,,,
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,4,Banking-as-a-Service Startups,banking-as-a-service-startups,1,Banking & Payments,Banking-as-a-Service,banking-payments-banking-as-a-service
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,5,Embedded Finance Startups,embedded-finance-startups,1,Banking & Payments,Embedded Finance,banking-payments-embedded-finance
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,6,Open Banking Startups,open-banking-startups,1,Banking & Payments,Open Banking,banking-payments-open-banking
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,7,Personal Finance App Startups,personal-finance-app-startups,,,,
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,8,Family Finance App Startups,family-finance-app-startups,,,,
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,9,Teen Banking Startups,teen-banking-startups,,,,
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,10,Senior Banking Startups,senior-banking-startups,,,,
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,11,Stock Trading App Startups,stock-trading-app-startups,1,Investment & Wealth,Stock Trading Apps,investment-wealth-stock-trading-apps
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,12,Fractional Investing Startups,fractional-investing-startups,1,Investment & Wealth,Robo-Advisors,investment-wealth-robo-advisors
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,12,Fractional Investing Startups,fractional-investing-startups,2,Investment & Wealth,Crypto Trading,investment-wealth-crypto-trading
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,12,Fractional Investing Startups,fractional-investing-startups,3,Investment & Wealth,Tax Optimization,investment-wealth-tax-optimization
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,12,Fractional Investing Startups,fractional-investing-startups,4,Investment & Wealth,Financial Planning,investment-wealth-financial-planning
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,12,Fractional Investing Startups,fractional-investing-startups,5,Investment & Wealth,Investment Research,investment-wealth-investment-research
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,13,Robo-Advisor Startups,robo-advisor-startups,,,,
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,14,Wealth Management Tech Startups,wealth-management-tech-startups,1,Investment & Wealth,Wealth Management,investment-wealth-wealth-management
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,15,Retirement Planning Startups,retirement-planning-startups,1,Investment & Wealth,Retirement Planning,investment-wealth-retirement-planning
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,16,529 Plan Tech Startups,529-plan-tech-startups,,,,
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,17,Estate Planning Tech Startups,estate-planning-tech-startups,,,,
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,18,Tax Filing Startups,tax-filing-startups,,,,
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,19,Crypto Tax Startups,crypto-tax-startups,,,,
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,20,Bookkeeping Automation Startups,bookkeeping-automation-startups,,,,
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,21,Accounting Software Startups,accounting-software-startups,,,,
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,22,Invoicing Tech Startups,invoicing-tech-startups,,,,
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,23,B2B Payment Startups,b2b-payment-startups,,,,
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,24,Cross-Border Payment Startups,cross-border-payment-startups,1,Banking & Payments,Cross-Border Payments,banking-payments-cross-border-payments
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,25,Remittance Startups,remittance-startups,,,,
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,26,Crypto Payment Startups,crypto-payment-startups,,,,
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,27,Stablecoin Payment Startups,stablecoin-payment-startups,,,,
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,28,POS Payment Startups,pos-payment-startups,,,,
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,29,Payment Orchestration Startups,payment-orchestration-startups,,,,
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,30,Subscription Billing Startups,subscription-billing-startups,,,,
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,31,Recurring Payments Startups,recurring-payments-startups,1,Banking & Payments,B2B Payments,banking-payments-b2b-payments
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,32,Buy Now Pay Later Startups,buy-now-pay-later-startups,1,Lending & Insurance,Buy Now Pay Later,lending-insurance-buy-now-pay-later
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,33,Income-Share Agreement Startups,income-share-agreement-startups,,,,
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,34,Earned Wage Access Startups,earned-wage-access-startups,,,,
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,35,Payroll Tech Startups,payroll-tech-startups,,,,
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,36,Contractor Payment Startups,contractor-payment-startups,,,,
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,37,Equity Compensation Startups,equity-compensation-startups,,,,
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,38,Cap Table Tech Startups,cap-table-tech-startups,,,,
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,39,Carry Tracking Startups,carry-tracking-startups,,,,
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,40,Lending Tech Startups,lending-tech-startups,1,Lending & Insurance,Digital Lending,lending-insurance-digital-lending
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,40,Lending Tech Startups,lending-tech-startups,2,Lending & Insurance,Peer-to-Peer Lending,lending-insurance-peer-to-peer-lending
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,40,Lending Tech Startups,lending-tech-startups,3,Lending & Insurance,Mortgage Tech,lending-insurance-mortgage-tech
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,40,Lending Tech Startups,lending-tech-startups,4,Lending & Insurance,InsurTech,lending-insurance-insurtech
Startups & Innovation,startups-innovation,1,FinTech & Financial Services Startups,fintech-financial-services-startups,40,Lending Tech Startups,lending-tech-startups,5,Lending & Insurance,Claims Automation,lending-insurance-claims-automation
